trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",20,0,-7.952726062511714,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",25,7,29.95043900081424,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",20,2,-6.705290448341631,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",20,0,-95.00986715717322,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",20,0,7.316188130930023,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.493074620618078}",20,0,-3.141301986194918,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",20,11,-27.422356511648495,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",20,11,10.620966609762876,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.46407788832877006}",25,10,-20.07652547238512,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.45479633056219465}",25,0,12.051912522425217,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.44570040395095073}",20,13,-0.18555806896853655,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.4367863958719317}",25,18,1.140390082243256,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",30,18,-39.267109895979765,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.41948965459540316}",25,6,-1.7343612558564128,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.4110998615034951}",25,8,-45.85226566718437,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",30,0,-11.595382606924842,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.39482030698795667}",25,3,-39.44842089537152,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",25,17,17.07225392710723,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",25,0,-91.3398695181838,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.37160171437460887}",20,12,-5.240626970527291,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.3641696800871167}",25,9,-24.249489310973548,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.35688628648537435}",20,10,-0.4879978779369325,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.34974856075566685}",35,21,1.58712044424202,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.3427535895405535}",25,0,-112.51337494055167,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.33589851774974244}",20,9,10.08176515550774,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",25,0,13.40280998070331,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",30,8,-67.57047938859976,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
